Number,Species,Temp,Recorded,Diameter.in,Diameter.cm
1,A. roeperi,40,34.76,0.94,2.38
1,A. roeperi,44,38.38,0.94,2.38
1,A. roeperi,48,42.29,0.94,2.38
1,A. roeperi,52,46.7,0.94,2.38
1,A. roeperi,56,50.16,0.94,2.38
1,A. roeperi,60,54.1,0.94,2.38
2,A. roeperi,40,36.42,1.00,2.54
2,A. roeperi,44,40.66,1.00,2.54
2,A. roeperi,48,44.45,1.00,2.54
2,A. roeperi,52,48.76,1.00,2.54
2,A. roeperi,56,52.32,1.00,2.54
2,A. roeperi,60,56.55,1.00,2.54
3,A. roeperi,40,33.94,1.00,2.54
3,A. roeperi,44,38.21,1.00,2.54
3,A. roeperi,48,41.79,1.00,2.54
3,A. roeperi,52,46.25,1.00,2.54
3,A. roeperi,56,50.02,1.00,2.54
3,A. roeperi,60,54.2,1.00,2.54
4,A. roeperi,40,35.3,1.06,2.70
4,A. roeperi,44,40.63,1.06,2.70
4,A. roeperi,48,44.83,1.06,2.70
4,A. roeperi,52,49.2,1.06,2.70
4,A. roeperi,56,52.23,1.06,2.70
4,A. roeperi,60,55.2,1.06,2.70
5,A. roeperi,40,34.42,1.06,2.70
5,A. roeperi,44,39.86,1.06,2.70
5,A. roeperi,48,45.65,1.06,2.70
5,A. roeperi,52,49.04,1.06,2.70
5,A. roeperi,56,51.86,1.06,2.70
5,A. roeperi,60,57.78,1.06,2.70
6,A. roeperi,40,35.74,0.88,2.22
6,A. roeperi,44,39.39,0.88,2.22
6,A. roeperi,48,44.92,0.88,2.22
6,A. roeperi,52,49.32,0.88,2.22
6,A. roeperi,56,53.2,0.88,2.22
6,A. roeperi,60,57.03,0.88,2.22
7,A. roeperi,40,35.3,1.13,2.86
7,A. roeperi,44,38.69,1.13,2.86
7,A. roeperi,48,42.32,1.13,2.86
7,A. roeperi,52,46.31,1.13,2.86
7,A. roeperi,56,50.42,1.13,2.86
7,A. roeperi,60,54.15,1.13,2.86
8,A. roeperi,40,37.18,0.75,1.91
8,A. roeperi,44,40.99,0.75,1.91
8,A. roeperi,48,44.9,0.75,1.91
8,A. roeperi,52,49.22,0.75,1.91
8,A. roeperi,56,48.6,0.75,1.91
8,A. roeperi,60,59.78,0.75,1.91
9,A. roeperi,40,37.62,1.06,2.70
9,A. roeperi,44,41.54,1.06,2.70
9,A. roeperi,48,42.8,1.06,2.70
9,A. roeperi,52,49.01,1.06,2.70
9,A. roeperi,56,52.97,1.06,2.70
9,A. roeperi,60,54.6,1.06,2.70
10,A. roeperi,40,35.31,0.75,1.91
