Species,Plate,Point ,Area,Temp
X. cleistominuta,1,1,Agar,41.4
X. cleistominuta,1,2,Agar,41
X. cleistominuta,1,3,Agar,41.3
X. cleistominuta,1,4,Agar,41.4
X. cleistominuta,1,5,Agar,41.4
X. cleistominuta,1,6,Agar,41.6
X. cleistominuta,1,7,Agar,41.4
X. cleistominuta,1,8,Agar,40.6
X. cleistominuta,1,9,Agar,40.9
X. cleistominuta,1,10,Agar,41
X. cleistominuta,1,11,Agar,41.1
X. cleistominuta,1,12,Agar,41.4
X. cleistominuta,1,13,Agar,41.4
X. cleistominuta,1,14,Agar,41.9
X. cleistominuta,1,15,Agar,41.7
X. cleistominuta,1,1,Fungi,40.1
X. cleistominuta,1,2,Fungi,40.2
X. cleistominuta,1,3,Fungi,40.6
X. cleistominuta,1,4,Fungi,41.1
X. cleistominuta,1,5,Fungi,39.8
X. cleistominuta,1,6,Fungi,40
X. cleistominuta,1,7,Fungi,41
X. cleistominuta,1,8,Fungi,40.4
X. cleistominuta,1,9,Fungi,40.6
X. cleistominuta,1,10,Fungi,40
X. cleistominuta,1,11,Fungi,40.9
X. cleistominuta,1,12,Fungi,40.7
X. cleistominuta,1,13,Fungi,40.6
X. cleistominuta,1,14,Fungi,40.8
X. cleistominuta,1,15,Fungi,41
X. cleistominuta,2,1,Agar,39.9
X. cleistominuta,2,2,Agar,39.8
X. cleistominuta,2,3,Agar,40.4
X. cleistominuta,2,4,Agar,40.3
X. cleistominuta,2,5,Agar,40.4
X. cleistominuta,2,6,Agar,40.3
X. cleistominuta,2,7,Agar,40.1
X. cleistominuta,2,8,Agar,40.2
X. cleistominuta,2,9,Agar,40.1
X. cleistominuta,2,10,Agar,40.1
X. cleistominuta,2,11,Agar,40.4
X. cleistominuta,2,12,Agar,40.4
X. cleistominuta,2,13,Agar,40.4
X. cleistominuta,2,14,Agar,40.3
X. cleistominuta,2,15,Agar,40.2
X. cleistominuta,2,1,Fungi,39.2
X. cleistominuta,2,2,Fungi,39.2
X. cleistominuta,2,3,Fungi,39.4
X. cleistominuta,2,4,Fungi,38.9
X. cleistominuta,2,5,Fungi,39
X. cleistominuta,2,6,Fungi,39.6
X. cleistominuta,2,7,Fungi,39.7
X. cleistominuta,2,8,Fungi,40
X. cleistominuta,2,9,Fungi,39.7
X. cleistominuta,2,10,Fungi,40
X. cleistominuta,2,11,Fungi,39.5
X. cleistominuta,2,12,Fungi,39.3
X. cleistominuta,2,13,Fungi,38.8
X. cleistominuta,2,14,Fungi,38.7
