Date_collected,Host_species,Rep#,Temp,Couple#,Slot,Species,Lifestage,Survival_0min,Survival_1hr,Survival_4hr,Survival_24hr
6/24/2026,Beech,73,45,5A,X1,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,73,45,2B,X4,A. maiche,Adult,1,1,1,1
6/24/2026,Beech,73,46,1A,X3,A. maiche,Adult,0,1,0,0
6/24/2026,Beech,73,46,2A,Z2,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,73,47,4A,Z1,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,73,47,0B,Y3,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,73,48,3B,Y2,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,73,48,0A,Z3,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,73,49,1B,Z4,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,73,49,3A,X2,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,74,45,0A,Z1,A. maiche,Adult,1,1,1,1
6/24/2026,Beech,74,45,0B,X2,A. maiche,Adult,1,1,1,1
6/24/2026,Beech,74,46,4A,X3,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,74,46,3A,Z3,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,74,47,1A,Y2,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,74,47,1B,Z2,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,74,48,2A,Z4,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,74,48,3B,X4,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,74,49,2B,Y3,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,74,49,5A,X1,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,75,45,1A,Y3,A. maiche,Adult,1,1,1,1
6/24/2026,Beech,75,45,0A,X4,A. maiche,Adult,1,1,1,1
6/24/2026,Beech,75,46,2B,Y2,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,75,46,2A,X3,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,75,47,1B,Z4,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,75,47,4A,Z1,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,75,48,0B,X2,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,75,48,5A,X1,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,75,49,3A,Z3,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,75,49,3B,Z2,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,76,45,3A,Y3,A. maiche,Adult,1,1,1,1
6/24/2026,Beech,76,45,4A,X4,A. maiche,Adult,1,1,1,1
6/24/2026,Beech,76,46,5A,X1,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,76,46,0B,X2,A. maiche,Adult,0,1,1,1
6/24/2026,Beech,76,47,2A,X3,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,76,47,0A,Z3,A. maiche,Adult,0,0,1,1
6/24/2026,Beech,76,48,3B,Y2,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,76,48,1A,Z1,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,76,49,2B,Z2,A. maiche,Adult,0,0,0,0
6/24/2026,Beech,76,49,1B,Z4,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,45,5A,Z1,A. maiche,Adult,1,1,1,1
6/26/2026,Beech,37,45,2A,Y3,A. maiche,Adult,1,1,1,1
6/26/2026,Beech,37,49,7A,X4,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,49,2B,Y4,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,54,3B,X1,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,54,6A,X3,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,59,0A,Z2,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,59,0B,Z4,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,64,4A,Z3,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,64,1B,X2,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,69,3A,Y1,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,37,69,1A,Y2,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,38,45,2A,X4,A. maiche,Adult,1,1,1,1
6/26/2026,Beech,38,45,0B,Y1,A. maiche,Adult,1,1,1,1
6/26/2026,Beech,38,49,6A,X3,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,38,49,5A,Y2,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,38,54,1A,Y4,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,38,54,0A,X1,A. maiche,Adult,0,0,0,0
6/26/2026,Beech,38,59,7A,Z2,A. maiche,Adult,0,0,0,0
