Date_collected,Host_species,Rep#,Temp,Couple#,Slot,Species,Lifestage,Survival_0min,Survival_1hr,Survival_4hr,Survival_24hr
10/8/2024,Red Maple,13,45,5A,X1,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,13,46,2B,Z4,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,13,46,0B,Y3,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,13,47,2A,X4,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,13,47,1A,Z2,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,13,48,0A,X3,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,13,48,4A,Z3,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,13,49,1B,X2,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,13,49,3A,Z1,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,14,45,2B,X1,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,14,45,1B,X3,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,14,46,5A,Z2,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,14,46,2A,Z1,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,14,47,3A,Y3,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,14,47,0B,X2,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,14,48,0A,X4,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,14,48,1A,Z3,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,14,49,3B,Z4,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,14,49,4A,Y2,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,15,45,5A,Z4,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,45,2B,X3,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,46,1B,X4,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,46,3A,X2,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,47,1A,X1,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,47,0B,Y3,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,48,0A,Z1,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,48,4A,Z3,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,15,49,3B,Y2,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,15,49,2A,Z2,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,16,45,0B,X1,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,16,45,1B,X2,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,16,46,3B,Z1,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,16,46,5A,Z2,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,16,47,1A,Y2,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,16,47,2A,Y3,X. crassiusculus,Adult,1,1,1,1
10/8/2024,Red Maple,16,48,0A,X3,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,16,48,3A,Z3,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,16,49,4A,Z5,X. crassiusculus,Adult,0,0,0,0
10/8/2024,Red Maple,16,49,2B,X4,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,21,45,3A,X3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,21,45,5A,Y3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,21,46,0A,Z3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,21,46,1A,Z4,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,21,47,2A,Y2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,21,47,4A,X2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,21,48,2B,X4,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,21,48,3B,Z1,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,21,49,1B,Z2,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,21,49,0B,X1,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,22,45,0A,Z1,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,22,45,0B,X2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,22,46,4A,X3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,22,46,3A,Z3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,22,47,1A,Y2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,22,47,1B,Z2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,22,48,2A,Z4,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,22,48,3B,X4,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,22,49,2B,Y3,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,22,49,5A,X1,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,23,45,1A,Y3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,23,45,0A,X4,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,23,46,2B,Y2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,23,46,2A,X3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,23,47,1B,Z4,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,23,47,4A,Z1,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,23,48,0B,X2,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,23,48,5A,X1,X. crassiusculus,Adult,1,1,1,0
1/30/2025,Beech,23,49,3A,Z3,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,23,49,3B,Z2,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,24,45,3A,Y3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,24,45,4A,X4,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,24,46,5A,X1,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,24,46,0B,X2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,24,47,2A,X3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,24,47,0A,Z3,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,24,48,3B,Y2,X. crassiusculus,Adult,1,1,1,1
1/30/2025,Beech,24,48,1A,Z1,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,24,49,2B,Z2,X. crassiusculus,Adult,0,0,0,0
1/30/2025,Beech,24,49,1B,Z4,X. crassiusculus,Adult,0,0,0,0
5/8/2025,Red Maple,29,45,5A,X1,X. crassiusculus,Larvae,1,1,1,1
5/8/2025,Red Maple,29,45,2B,X4,X. crassiusculus,Larvae,1,1,1,1
5/8/2025,Red Maple,29,46,1A,X3,X. crassiusculus,Larvae,1,1,1,1
